"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","C3","10pF-5%-50V-0805","Samsung Electro-Mechanics","CL21C100CBANNNC","Digikey","1276-2561-1-ND"
"2","1","C5","330uF 35V","Rubycon","35PZJ330M10X9","Digikey","1189-35PZJ330M10X9-ND"
"3","1","C7","0.01uF-10%-50V-0805","Samsung Electro-Mechanics","CL21B103KBANNNC","Digikey","1276-1015-1-ND"
"4","1","C9","10uF-10%-10V-0805","Kemet","C0805C106K8PAC7800","Digikey","399-C0805C106K8PAC7800CT-ND"
"5","2","C1,C2","82uF 35V","Panasonic Electronic Components","35SEPF82M","Digikey","P16345-ND"
"6","4","C4,C6,C10,C13","0.22uF-10%-50V-0805","KEMET","C0805C224K5RAC7800","Digikey","399-C0805C224K5RACTUCT-ND"
"7","3","C8,C11,C12","22uF-20%-25V-0805","Samsung Electro-Mechanics","CL21A226MAYNNNE","Digikey","1276-CL21A226MAYNNNECT-ND"
"8","1","D1","STPS20M100SG-TR","STmicroelectronics","STPS20M100SG-TR","Digikey","497-10993-1-ND"
"9","1","D2","15V","Nexperia","BZT52H-C15,115","Digikey","1727-3593-1-ND"
"10","1","D3","15V","Littelfuse","SZ1SMB15CAT3G","Digikey","F11544CT-ND"
"11","1","D4","PESD1CAN","Nexperia","PESD1CAN,215","Digkey","1727-3817-1-ND"
"12","1","D5","PWR","Dialight","5913001858F","Digikey","350-5913001858FCT-ND"
"13","1","J1","18V_OUT","Würth Elektronik","691408720002B","Digikey","732-691408720002B-ND"
"14","1","J3","CAN-NX","Molex","70543-0003","Digikey","WM4802-ND"
"15","1","J5","NX-BUTTON","Molex","0705430040","Digikey","WM4828-ND"
"16","1","J8","CONSOLE","Molex","0705550037","Digikey","WM4176-ND"
"17","1","J9","Power","Wurth","691406510002B","Digikey","732-691406510002B-ND"
"18","2","J10,J11","HDMI","Switchcraft","RAVHD19ETR","Digikey","137-RAVHD19ECT-ND"
"19","2","J2,J4","MIPI","TE Connectivity","1-1734248-5","Digikey","A101418CT-ND"
"20","2","J6,J7","CAN-NX","Molex","0705550036","Digikey","WM4175-ND"
"21","1","L1","4.7 uH-8m-20%","Vishay Dale","IHLE5050FHER4R7M5A ","Mouser","70-IHLE5050FHR4R7M5A "
"22","1","L2","2.2uH-20%-46mR","Vishay","IHLP1212BZER2R2M11","Digikey","541-1322-1-ND"
"23","1","Q1","CSD16322Q5","Texas Instruments","CSD16322Q5","Digikey","296-25112-1-ND"
"24","1","Q2","SI4483ADY-T1-GE3","Vishay","SI4483ADY-T1-GE3","Digikey","SI4483ADY-T1-GE3CT-ND"
"25","1","R1","4.0m-1%-2512","Bourns Inc.","CRE2512-FZ-R004E-3","Digikey","CRE2512-FZ-R004E-3CT-ND"
"26","1","R2","100R-1%-0805","Yageo","RC0805FR-07100RL","Digikey","311-100CRCT-ND"
"27","1","R3","14.0k-1%-0805","Yageo","RC0805FR-0714KL","Digikey","311-14.0KCRCT-ND"
"28","1","R5","59.0k-1%-0805","Yageo","RC0805FR-0759KL","Digikey","311-59.0KCRCT-ND"
"29","1","R9","4.99k-1%-0805","Yageo","RC0805FR-07499RL","Digikey","311-499CRCT-ND"
"30","3","R4,R6,R7","1.05k-1%-0805","Yageo","RC0805FR-071K05L","Digikey","311-1.05KCRCT-ND"
"31","2","SW1,SW2","-- mixed values --","E-Switch","TL1105VF100Q","Digikey","EG2507-ND"
"32","1","U1","LM3478MA","Texas Instruments","LM3478MAX/NOPB","Digikey","296-38111-1-ND"
"33","1","U2","TPS613222ADBVR","Texas Instruments","TPS613222ADBVR","Digikey","296-50503-1-ND"
"34","1","U3","MCP2558FD-H/SN","Microchip","MCP2558FD-H/SN","Digikey","MCP2558FD-H/SN-ND"
